グループ番,グループ,店番,店名,B全,B2,B3,B4
0,印刷単価,0,,0,0,0,1.6
1,北関東エリア,18560,ＥＸＴさくら,17.2,9.2,4.36,3.48
1,北関東エリア,12820,ＥＸＴ真岡,15.2,8.6,4.36,3.48
1,北関東エリア,12810,ＥＸＴ那須塩原,17.2,9.2,4.36,3.48
1,北関東エリア,18580,ＢｉＧ那須,17.5,9.4,4.36,3.48
2,三重エリア,12770,ＥＸＴ津河芸,15.3,8,4.46,2.88
2,三重エリア,16200,EXT玉城,13,6.4,4.46,2.88
2,三重エリア,16340,BiG津藤方,13,7,4.46,2.88
2,三重エリア,16100,BiG菰野,13,7,4.46,2.88
2,三重エリア,16070,ＢiG芸濃,13,6.4,4.46,2.88
2,三重エリア,16550,ＥＸＴ鈴鹿玉垣,15.3,8,4.46,2.88
2,三重エリア,26550,ＥＸＴ亀山,15.3,8,4.46,2.88
3,ＢｉＧ大垣河間,18610,ＥＸＴ岐阜池田,16,8.1,4.66,2.88
3,ＢｉＧ大垣河間,16590,ＥＸＴ本巣,16,8.1,4.66,2.88
3,ＢｉＧ大垣河間,16510,EXT山県,16,8.1,4.66,2.88
3,ＢｉＧ大垣河間,16220,EXT各務原鵜沼,16,8,4.66,2.88
3,ＢｉＧ大垣河間,18590,ＢｉＧ養老,16,8,4.66,2.88
3,ＢｉＧ大垣河間,18600,ＢｉＧ輪之内,16.5,8.2,4.66,2.88
3,ＢｉＧ大垣河間,16440,ＢｉＧ美濃,16,8.1,4.66,2.88
3,ＢｉＧ大垣河間,16370,ＢｉＧ可児御嵩,16,8.1,4.66,2.88
3,ＢｉＧ大垣河間,27480,ＢｉＧ岐南,16,8.1,4.66,2.88
3,ＢｉＧ大垣河間,1,ＢｉＧ大垣河間,16,8.1,4.66,2.88
4,愛知エリア,16040,ＥＸＴ刈谷,16.5,8.5,4.55,2.88
4,愛知エリア,18620,ＥＸＴ弥富,15.3,8,4.55,2.88
5,近畿エリア,13080,ＥＸＴ野洲,16,9,5.45,3.07
5,近畿エリア,18630,ＥＸＴ大安寺,12.05,7.05,4.196,2.814
5,近畿エリア,18910,ＥＸＴ天理,12.05,7.05,4.196,2.814
5,近畿エリア,16540,ＥＸＴ香芝,12.05,7.05,4.196,2.814
5,近畿エリア,16460,EXT彦根,16,9,5.45,3.07
5,近畿エリア,16330,EXT湖南,16,9,5.45,3.07
5,近畿エリア,16320,EXT平群,12.05,7.05,4.196,2.814
5,近畿エリア,16360,ＢｉＧ豊郷,16,9,5.45,3.07
5,近畿エリア,16120,BiG高月,16,9,5.45,3.07
6,小型店事業,26350,岡崎福岡,16.5,8.5,4.55,2.88
6,小型店事業,398440,楠店,16.5,8.5,4.55,2.88
6,小型店事業,398470,南陽店,16.5,8.5,4.55,2.88
6,小型店事業,398510,味鋺店,16.5,8.5,4.55,2.88
6,小型店事業,398560,花ノ木店,16.5,8.5,4.55,2.88
6,小型店事業,399180,五女子店,16.5,8.5,4.55,2.88
6,小型店事業,700030,荒子店,16.5,8.5,4.55,2.88
6,小型店事業,700040,平針店,16.5,8.5,4.55,2.88
6,小型店事業,71826,日比津店,16.5,8.5,4.55,2.88
6,小型店事業,73694,岐阜早田店,16.5,8.5,4.55,2.88
6,小型店事業,700050,鈴鹿ユーズ店,15.3,8,4.46,2.88
6,小型店事業,700060,夏見橋店,15.3,8,4.46,2.88
6,小型店事業,700070,小俣店,15.3,8,4.46,2.88
6,小型店事業,700080,神田久志本店,15.3,8,4.46,2.88
6,小型店事業,700090,松阪高町店,15.3,8,4.46,2.88
6,小型店事業,700100,甲南店,16,9,5.45,3.07
